NO;LOKASYON;TARİH;KULLANILAN  ARAÇ;BİLGİ; KOOORDİNAT;OSMANLI TOPRAĞI OLAN YERLER;;;;;;;;;;;;;;;;
162;Türkmençay;-;Bisiklet;"Güneş batarken 1828 yılında imzalanan anlaşmayla İran'ın Kafkaslardaki topraklarını Rusya'ya bıraktığı Barış Anlaşmasının imzalandığı büyük bir köy olan Türkmençayı’na ulaşıyorum. İranlıların Hazar denizini kullanma haklarını ellerinden aldıktan sonra Rus Çarının İran Şahına bir yat hediye ederek kaderin cilvesiyle ilgili güzel bir ders verdiği anlatılıyor. Kervansaraya kadar bir yerlinin rehberliğinde gitmek isterken kervana gitmek istediğimi sanan bu sivri zekalı adam köyün diğer ucuna kadar zorlu dar sokaklardan geçip beni yamaçlarda kamp kuran bir çay kervanına götürüyor. Kervancılar beni her zamanki ilkel şartların bulunduğu at hanına yönlendiriyor. Köyden yumurta, çay ve şeker getirten çayevinin sahibi ve seyisler yıpranmış bir semaver çıkarıyor ve yumurtaları kızarttıktan sonra çayımı hazırlıyor. İkisi de fakir, peri-şan kılıklı adamlar, ama yine de kaygısız, halinden memnun görünüyorlar. Kaynayan semaverin sesi yarı medeni bu insanlarda sıcakkanlı bir tepki uyandırıyor ve liman meyhanesindeki denizciler veya bira içen Almanlar kadar doğal bir şekilde ince bardaklardaki şekerli çaylarla şarkılar söyleyip neşeleniyorlar. Dışardan şakacı, kaygısız adamlar gibi görünmelerine rağmen sahtekarlık konusunda buradaki diğer insanlardan farklı değiller. Bana getirdiklerinin iki katı malzemeyi almaya yetecek kadar para vermeme ve ayrılma-dan önce küçük bir hediye sözüme rağmen sabahleyin yumurtanın kalanını pişirmek için daha fazla yağ gerekiyormuş gibi davranarak fazladan para almaya çalışıyorlar. Bunlar üzerinde durmaya değmeyecek kadar basit meseleler, ancak İran ve Türkiye’deki köylü sınıfın arasında bulunan büyük farkı göstermesi açısından önemlidir. Buradaki at hanları genellikle çok sayıda at, seyisler ve bekçinin kalacağı yerlere ayrılmış. İran’da en hızlı yolculuk yapma yöntemi durduğunuz her at hanında atlarınızı değiştirip onların yerine dinç atlar almaktır. Türkmençayı’nın doğusundaki bölge öğle vaktine kadar yolculuğu ilginç bir katkıda bulunmayacak kaba, sıradan yükseltilerden oluşuyor. 

";37.58037395600713,47.39209605411351;-;;;;;;;;;;;;;;;;
163;Miana;-;Bisiklet;"25 kilometre kadar gidip ulaştığım Miana köyü İran'da evlerin topraklarında yaşayan ve uyurken insanları ısıran bir çeşit zehirli yılanla ünlüdür. Isırığın uzun süreli korkunç bir ateşe ve hatta ölüm tehlikesine yol açtığı söyleniyor. Yolcuları geceyi Miana'da geçirme konusunda uyarmak gelenek olmuş ve elbette beni de unutmuyorlar. İddia edilen bu korkunç şeylerin çoğu gibi yakından incelenince insanların hayalperest zihinlerinde büyüttükleri bir korkudan ötesi olmadığı anlaşılıyor. Sanırım ""Miana öcüsü çok daha uygun bir isim olurdu. Buradaki insanlar korumasız bir Avrupalıyı gürültülü ve kavgacı bir şekilde karşılıyor. Pazaryerinden telgraf kontrol noktasına doğru güçlükle ilerlerken gizlice fırlatılan kavun kabukları ve diğer kötü şeylerin hedefi oluyorum. Bunlardan tek kurtuluş yoluysa kontrol noktasının dostane sığınağı oluyor… Miana'dan doğuya doğru yola çıkarken iki prens ve bir han benimle birlikte at sürüyor. Elburz geçidine yaklaşan yamaçlara kadar bana eşlik edip iyi yolculuklar diledikten sonra atlarıyla tekrar evlerine doğru dönüyorlar. Geçide ulaşınca karşıma aşırı derecede dik ve bir o kadar da zorlu bir yol çıkıyor. Fakat yüzey oldukça düzgün ve zirveye doğru eski zamanlardan kalma taştan yapılmış bir geçit çıktığı için Anadolu'daki birkaç dağ geçidiyle kıyaslanınca geçmek oldukça kolay oluyor. Geçidin zirvesinde beni yeni ve keyif veren bir deneyim bekliyor. Batıya doğru uzanan manzara benim için tamamen yeni bir deneyim olan ve sürekli değiştiği söylenebilen dağ manzarasını açığa çıkarıyor. Yeryüzünün üzerine yükselip kendimi sürekli değişen bir güzelliğin manzarasından şeffaf, semavi derinliklere bakıyormuş gibi hissediyorum. Bulunduğum yerin çok aşağısındaki vadinin üzerinde tüylü bulutlar yeryüzünde sürekli değişen gölgelerle portrelik bir manzara oluşturarak miskin miskin süzülüyor. Masmavi derinliklerde inişli çıkışlı gri yamaçlar, yeşilliklerin arasındaki dereler ve mavi kubbeli camileri, zümrüt yeşili bahçeleriyle Miana muhteşem bir manzara oluşturuyor.";37.42843589994027,47.7057701818403;-;;;;;;;;;;;;;;;;
164;Zencan;-;Bisiklet;Kürt kampından beri 58 mili geride bıraktım ve saat 3’te Zendjan camilerinin mavi kubbeleri görünüyor. Bu mavi kiremitli kubbeler tuğlalardan inşa edilen ve Türkiye'deki gibi yüksek minareleri olmayan İran camilerinin tipik bir özelliği. İbadet çağrıları ise bir duvar veya çatının üzerinden yapılıyor. Şehrin kapısına yaklaşırken yarı delirmiş bir adam beni bisikletin üzerinde görünce çılgınca heyecanlanıyor ve bana doğru koşup direksiyonu tutuyor. Ben koltuktan kalkınca da hızla kaçıyor. Takip etmediğimi görünce yeniden cesaretini toplayıp utangaç bir şekilde yaklaşıyor ve binerken tekrar görmek için yalvarıyor. Zendjan bakır eşyaların üretimiyle ünlüdür ve işçiler bakırcılarda çalışırken rat-a-tat-tat sesleri kapının tam 1 mil dışından duyuluyor. Bu dükkanların olduğu yerlerden geçerken bazen çekiç sesleri sağır edici boyutlara çıkıyor ve ilerleyişim beni takip eden sessizlik dalgası olarak adlandırılabilecek olayla belli oluyor. Ben yaklaşırken gürültü kesiliyor ve geçtikten sonra yenilenmiş bir gayretle tekrar başlıyor… Zendjan’dan doğuya doğru yol gittikçe iyileşiyor ve birkaç mil sonra da Asya’da karşılaştığım en güzel sürüş keyfini sağlıyor. Bölge soldaki dağ sırası ile sağdaki daha alçak tepeler arasında çakıllı bir düzlükten oluşuyor. ;36.68300743201519,48.50872747647376;-;;;;;;;;;;;;;;;;
165;Sultaniye İran;-;Bisiklet;Öğleye doğru eskiden İran hükümdarlarının gözde kır evi olan Sultaneh'ten geçiyorum. Güz mevsiminde geniş, çayırlık ovada Şah süvarilerinin manevra yeteneklerini izlerken eğlenmiş ve Sultaneh'te birkaç ay süren kamp bu birliğin karargahı haline dönüştürülmüş. Şahın sarayı ve artık hızla çürüyen büyük bir cami köye girmeden birkaç mil önce görülebiliyor. Şah ve sarayındakilerin varlığı sıradan köylülerin üzerinde incelik kazandıran veya medenileştiren bir etki bırakmamış gibi görünüyor. Yoksa Sultaneh gözde bir mekan olma özelliğini yitirdiğinden beri barbarlığa doğru üzücü biçimde gerilemişler. Acınacak haldeki köylerinden bisikletle geçen yalnız bir Avrupalı görünce bunu İslam'ın küçük düşmemesi için saldırgan bir şeyler yapma fırsatı gibi görüyorlar. Taş ve toprak parçaları yağdırarak ortamı ilginç ve hareketli yapmaya çalışan çıplak bacaklı, yuhalayan zavallılar beni kovalıyor… Sultaneh'in doğusundaki köylerin hemen hemen hepsi tarımsal köyden ziyade kale görüntüsü veren yüksek bir toprak duvarla çevrilmiş. Bunun asıl amacı ise şüphesiz kendilerini göçebe aşiretlerden korumak ve İranlılar bir şeyleri değiştirmeyi nadiren düşündükleri için de gelenek halen sürdürülüyor. Artık yol kenarında ara sıra çalılar görülüyor ve her dalda bir parça bez rüzgarla hafifçe dalgalanıyor. Harap olmuş bir cami veya sultanın sarayı gibi saygı duydukları bir yere yaklaşırken giysilerinden koparıp onu yol kenarındaki bir çalıya bağlamak İran köylüleri arasında halen sürdürülen çok eski bir gelenektir. Bunun işlerinde iyi şans getirdiğine inanıyorlar ve çalılar gerçekten batıl inançlı köylülerin rengarenk adaklarıyla kaplanıyor. Yakınlarda çalı bulunmadığı zamanlarda ise küçük taş yığınları aynı inancın belirtisi oluyor. Herkesçe bilinen yığına yaklaştığı her seferde köylü bir taş alıp onu yığına ekliyor. Yola geç çıkmam ve etkili rüzgar yüzünden geceyi geçirmek üzere Heeya'daki bir at hanına ulaştığımda sadece 46 mil yol kat etmiş oluyorum. Eğer yol iyi devam ederse burası ile Kasveen arasındaki 60 mili yarın geçeceğime söz veriyorum.;36.4339912495934,48.79464388959361;-;;;;;;;;;;;;;;;;
166;Kazvin;29.09.1885;Bisiklet;Kasveen'e yaklaşırken ova oldukça genişliyor ve tamamen düzleşiyor. Görünürdeki mesafeler aldatıcı olurken uzaktaki nesneler ise garip, hayali şekiller gibi geliyor. Güzel seraplar cazibesini farklı yönlerden gösteriyor. Köylerin kasvetli duvarları gümüş renkteki göllerin ayna gibi yüzeyleri üzerinde yükselen surlu kalelerin görüntüsünü sunuyor. Bahçeler ve korular da toprağın üzerinde hareketsiz duran gölgeli, tanımlanamayan nesneler gibi geliyor. Bulanık mesafelerde görünürden kaybolan uzun, düz telgraf direkleri havada boşlukta kalmış gibi duruyor. At, deve ve bunlar gibi hareket eden bir milden uzaktaki nesneler yeryüzünün birkaç metre üzerinde yürüyen hayvanların görsel aldatmacasını sunuyor. Yeraltı kanallarının yerini belirten tümseklerin uzun sıraları köylerden uzaktaki dağ sıralarına gidiyor. Daha önce bahsedilen eğimli yokuşlardan birine su içmek için indiğimde oldukça düz ovada yavaş akmakta olan suyun içinde yaşayan balıkları görünce şaşırıyorum. Belki de Kentucky'deki mamut mağarasında bulunanlar gibi gözsüz bir balık türüdür, yine de aşağı inen deliklerden hafifçe pırıldayan bir ışık alıyorlar. Yabani güvercin sürüleri de bu yeraltı suyollarında bolca yaşıyor ve köylüler bazen ağlar kullanarak yüzlercesini yakalıyor. Kasveen'e ulaşmadan önce 3 millik gevşek kum ve taştan oluşan zorlu yolu aşmak gerekiyor. Yine de söz verdiğim 60 mili geçiyorum ve öğleden sonra saat 2'de şehrin kapısından giriyorum. Birçok dar, dolambaçlı ara sokakta güçlükle ilerledikten sonra geniş, düzgün bir caddeye açılan iç kapıya çıkıyorum. Buradan sonra kısa bir sürüş beni içinde gümrük binaları ve tuğladan inşa edilen büyük bir kervansarayın bulunduğu etrafı çevrili alana getiriyor. Burada bir başka prens karşıma gümrük memuru olarak çıkıyor. Beni bisiklete binerken görme isteğini hemen yerine getiriyorum, ancak Iran Prensi unvanının artık zihnimde büyüklük ve itibarla bir ilişkisi kalmıyor. İran'daki prensler İtalya'daki kontlar veya Almanya'daki baronlar kadar çok, ama Doğunun saray halkıyla ilgili ihtişamlı hayallerden sonra prensleri telgraf kontrol noktasında 40 dolar maaşla çalışırken veya küçük bir gümrüğün sıradan işleriyle ilgilenirken görmek insanı şok ediyor. Tahran ile Hazar denizindeki Esht limanı arasındaki yolun tam ortasında olması ve Kuzey İran'la Avrupa arasındaki gezi ve ticaret yolu üzerinde olması bakımından Kasveen önemli bir yer. Önemini artıran bir başka özellik de başkentten gelen geniş, düzgün yolun bittiği yer olması. Burası Tahran'dan gelen yolcuların veya posta arabalarının Hazar denizine giden yoldaki Elburz dağlarında bulunan kayalık geçitlerden geçiş için tekerlekli araçlardan atlara aktarıldığı yer oluyor. ;36.2795070127141,50.004565838744824;-;;;;;;;;;;;;;;;;
168;Tahran;-;Bisiklet;"Bir İran şehrinin pazarı, camileri, evleri, kenar bahçeleri ile başka bir şehrin aynı özellikleri arasında birinin tanımı diğerinin de tanımı yerine geçiyor demeyi haklı çıkarmaya yetecek kadar benzerlik var. Fakat Şahın ve saray halkının varlığı, Doğulu kraliyet ailesinin görkemi ve yaşam koşulları, yabancı elçilikler, askerler, Avrupa'dan getirilen yenilikler, mevcut hükümdarın sarayları, eski kralların saray ve anıtları hep birlikte Tahran'ı eyalet şehirlerinin korkutucu aynılığından belirgin şekilde daha yüksek bir konuma çıkarıyor. Şehirde her gün acele etmeden gezmeyi alışkanlık edinmiş biri birkaç günde bir tesadüfen Şahı görecektir. Bu açıdan Şah ile camiye giderken veya olağanüstü durumlar haricinde saraydan çıkmayan Türkiye'deki Sultan arasında önemli bir fark var… İran hiç şüphesiz dünyadaki din adamlarınca yönetilen en kötü ülke. Mollalar hükümdardan en alt tabakaya kadar herke-si ve her şeyi en ufak gelişmeye imkan bırakmayacak şekilde etkiliyor. Dışarıdan müdahale engellendikçe de insanların şu anki güç ve etkilerini ellerinden almaya yetecek derecede güce sahip bir hükümdar gelene kadar İran bu perişan halinden kurtulamayacaktır. O zaman da tamamen kurtulmayı sağlamak için toplu kıyım gibi bir olay ancak işe yarayacaktır. Kendi vatandaşlarıyla birlikteyken ""Şahların Şahı"", ""Dünyanın Koruyucusu"" gibi unvanlarla itibarını tehlikeye atmayan Nasreddin Şah, Avrupa turu sırasında onun büyüklüğünü düşünerek kendinden geçmeyen davranışlarıyla Avrupalıların demokratik özgürlüğünü kendisine yakışan müsaadeyle tanıyarak deneyimlerinden faydalanmış… Tahran'a yakın zamanda getirilen yenilikler arasında gaz ve elektrik ışığı gösterilebilir. Eğer sadece bu cümleyi söyleyip öylece bıraksam aldatıcı bir izlenim bırakmış olurum. Bu gibi şeylerin burada bulunduğu gerçeğine rağmen şehrin tamamının yararlanması fikriyle yapılan gelişmeler yerine şahın Avrupa'da gördüğü bazı ilginç ve yeni şeyleri kendi etrafına toplama isteğinin yerine getirildiği oyuncaklar olarak nitelemek daha uygun bir ifade olur. Aslında şahın kişisel memnuniyeti ve yüce görüntüsü haricinde İran'a yeni veya faydalı hiçbir şeyin getirilmediğini söylemek abartı sayılmaz. Bu yüzden Avrupa'dan gelen bazı yenilikler Tahran'da görülebiliyor, ama İran'ın başka hiçbir yerinde görünmüyorlar. Top meydanından saraya giden iki sıra, sarayın doğu tarafındaki iki sıra ve meydanda da bir düzine kadar lambayı aydınlatmaya yetecek gaz üretiliyor. Gaz çok düşük kalitede ve lambalar ay ışığı olmayan bir akşamda saat 9.30'a kadar ortalığı aynı sayıda mum kadar aydınlatıp çok zayıf yanıyor. Zaten bu saatte de söndürülüyorlar. Daha sonrasında sokağa çıkan İranlılar tutuklanıp cezalandırılıyor… Kasım'da ve Aralık'ın ilk bölümünde Tahran'da hava genelde iyi ve kısa mesafeli sürüşler için uygun devam ediyor. Fakat önümdeki uzun mesafeyi ve malzeme temin etmedeki durumun belirsizliğini aklımda tutup alıştırmalarımı yürüyerek yapmayı ve lastiklerimi Pasifik okyanusuna kadar devam edecek yolculuktaki zorluklara saklamayı daha uygun buluyorum. İran başkentinde süzülecek yeşil patikalar veya dolaşacak zümrüt renginde çayırlar bulunmuyor. Yeşillikler olsa da bunlar ancak kışın ilk aylarında görülebiliyor. Türü ne olursa olsun herhangi bir yeşil bitkinin sulamaya bağlı olarak varlığı ve kavurucu yaz aylarında bir şekilde hayatta kalması bile birdenbire bastırıp şaşırtan kırağıya kadar bitkilerin varlığını sürdürmesini sağlıyor. Aslan ve Güneş'in ülkesinde hiçbir çayır veya kadife yeşillik yok. Bitki olup kanal veya derenin suyuyla hayata gelir gelmez çölün çıplak, gri yüzeyi sıcaklığıyla bitkinin yaşamasına izin vermez… Tahran ile Elburz dağlarının yamaçları arasındaki taşlı ovada oraya buraya dağılmış ve gölgeli caddeleriyle çeşmeleri arasında dolaşarak hoş bir saatin geçirilebileceği İran şartlarında güzel sayılan bahçeler yer alıyor. Bu bahçeler sadece çöl toprağından kurtarılıp sulama suyu sağlanmış ve yüksek bir toprak duvarla çevrilmiş parçalar. İçlerinde zarif çınarların gölgesindeki taş döşenmiş yollar geçiyor. Bahçelere incir, nar, badem ve şeftali ağaçlarıyla asmalar ve kavunlar dikiliyor. Bunlar Tahran marketindeki meyve satışıyla gelir elde eden zengin Tahranlıların malları. Şehrin surları arasındaki geniş alan bu sığınak yerlerinden birkaç tane içeriyor. Bazıları belki önceki kralların gözde yaz mekanı ve arazisi olduğu için fazladan bir de tarihi cazibeye sahiptir. Böyle bir tanesi şehrin kuzeydoğu kısmında yer alıyor ve içinde Nasreddin'in dedesi Fatteh-ali şahın gözde yaz sarayı bulunuyor… Tahran çarşısının Şahın kış sarayının hemen arkasındaki bu kısmı hemen her gün Avrupalılarca ziyaret ediliyor ve onların varlığına alışan yerlilerin dikkatini çok az çekiyor. Fakat sık sık duyduğuma göre Avrupalılar güney veya daha ziyade yerlilere ait bölgelerde hakarete uğramadan dolaşamıyor. Araştırmaya karar verip bir öğleden sonra daha önce defalarca geçtiğim saray duvarının doğu tarafından çarşıya girip yalnız başıma dolaşmaya çıktım… İstanbul'daki dünyaca ünlü Kapalı Çarşı ile karşılaştırılmasa da Tahran çarşısı son derece büyük. İran'daki geziler ve insanlarla ilişkilerim konusunda hep iyi olduğumu sanıyordum. Fakat çarşının kötü kısımlarına gittikten birkaç gün sonra İran'da cenaze törenine katılmak için bugüne kadar hiç gitmediğim bir bölgeye doğru cenaze taşıyanları takip ediyorum ve belki de hiç görmediğim 1 mil boyunca dükkanların arasından geçiyorlar. Cenaze taşıyanları daha fakir yerlilerin yaşadığı karanlık geçitler ve dar ara sokaklar boyunca izliyorum. Benimle birlikte cenazenin peşinden gidenlere rağmen defin işleminden önce cenazenin yıkandığı eve kadar giriyorum, ama burada resmi görevli mollalar yanlış anlaşılma ihtimali bulunmayan bir öfke gösterip ben varken iş yapmaya karşı çıkınca geri çekilmek zorunda kalıyorum. Tahran fakir bölgesi aynı toprak evler ve harabelerden oluşuyor. Sokaklar dar geçitlerden meydana geliyor. Kemerli çarşıdan dışarı çıktığımda güneş neredeyse batmak üzere ve sarayın balkonlarındaki müzisyenler bir başka günün bitişini antik İran davulları ve borularının yüksek sesli ezgileriyle gösteriyor. Bu müzisyenler 15. yüzyıl soytarılarının giysileri gibi muhteşem kırmızı üniformalar giyiyor ve her günbatımında bu balkonlara çıkıp bir saat boyunca doğaüstü bir müzik çalıyor… Tam da ibadet saati ve her yerde özel olarak serilmiş örtülerin üzerinde diz çöküp başlarını defalarca yere koyarak Mekke yönünde eğiliyorlar. İkinci müzisyenlerin kapısından geçip topçu meydanına bir tarafta borazanlar diğer tarafta silahşorlar sıralandığında olayı görmek için tam vaktinde ulaşıyorum. Bu modern borazancılar çalmak için ilerlerken diğer taraftaki silahşorlar silahlarını gösteriyor ve sonra bu yeni çalgıcılarla balkonlardan gelen müzik karışıyor ve ancak bir grup vahşi file hitap edecek ortak bir çaba çıkıyor. Gürültücü borazanlar durunca etraftaki sıradan sesler tam bir sessizlik gibi geliyor ve bu derin sessizliğin içinde şehrin farklı yerlerinden gelen oldukça yüksek ""Al-lah-il-Al-lah"" sesleri duyuluyor. Adamlar camilerin çatıları ve soyluların duvarları ve evlerinin üzerine çıkıyor. Şahın müezzini diğer hepsinin arasında duyulabiliyor. Güneş henüz yeni battı ve yüksek kışla duvarlarının üzerinden bakan Demavend dağının karlı zirvesini görebiliyorum. Bazen güneş batarken olduğu gibi belirgin bir pembe renge bürünüyor. Batıya doğru dönünce bunun nedeni anlaşılıyor, çünkü batı yönünde tüm gökyüzü harika bir günbatımıyla parlıyor. Öyle bir manzara ki ufuk kan kırmızısı renge boyanmış ve semaya kor gibi bir sıcaklık yayılıyor… Belirlenen sabah saat 8'de şehrin kuzeyindeki Gulaek kapısında buluşuyoruz. Kuzeydoğudaki karlı dağlardan soğuk bir rüzgar esiyor ve biz de yürüyüşümüze batıya doğru başlamaya karar veriyoruz. Surların zikzaklı şeklini takip ederek önce biraz kaba ve taşlı olduğunu görüyoruz. Sağ tarafımızdaki derin, geniş hendeğe bakıyoruz ve gözlerimiz daha ileride eğimli ovanın üzerindeki yeraltı kanallarına ait düzgün sıralanmış tümseklerin arka plandaki tepelere kadar uzanışını takip ediyor. 8 mil uzakta ise gökyüzüne doğru yükselen karlı Elburz silsilesi var. 40 mil arkamızda da Demavend dağının koni biçimli zirvesi sanki onu aşağıdaki dünyadan tamamen soyutluyormuş gibi yan taraflarında hareketsiz biçimde yığılan beyaz kar bulutlarının üzerinden bize bakıyor. Sol tarafımızda toprak duvarlar, düz çatılı evler ve kavak bahçeleri tuhaf şekilde bir arada bulunuyor. İçinden bakınca camilerin minare ve kubbelerinin, şahın Enderun okulunun aydınlatılmış kulelerinin, altında yılda bir kez ""Hüseyin ve Hasan"" trajedisinin oynandığı çadır tiyatronun dev gibi kubbesinin iskeleti ve kapkara duman çıkaran uzun tophane bacasının göründüğü ince bir duman tabakası sokakların hemen üzerini kaplıyor. Güneye doğru epey uzakta, şehir sınırlarının dışındaki Şah Abdullah camisinin saf altınla kaplandığı söylenen kubbesi sabah güneşiyle ayna gibi parlıyor. İlerlerken İngiliz elçiliği topraklarının içini görebiliyoruz. Gölgeli caddelerin bulunduğu muhteşem bir bahçe, asfalt yollar ve ağaç gövdelerinin yarısına kadar sarılan koyu yeşil İngiliz sarmaşıkları dikkatimizi çekiyor. Kare şeklinde saat kulesi ve tarihi bir malikaneyi andıran bir bina “Tahran’daki en güzel arazi”ye memleket görüntüsü veriyor… Öğrenebildiğim kadarıyla tarihte ilk kez bir Avrupalı Tahran surlarının etrafında yürüyor. Övünülecek bir yanı yok, çünkü sadece birkaç millik tempolu yürüyüş ve görülecek yeni bir şey de yok. Şehrin dışındaki bölge nadiren karşılaşılan bir tarla ve yakındaki köylerin bahçeleri haricinde bitkisiz, düz bir ovadan meydana geliyor. Tahran'ın belli bölgelerinde Mecusiler yani ateşe tapan birkaç tane aile yaşıyor. Eski Pers dininin bu son temsilcileri yanan alevleri sürekli besliyor ve sönmesine de asla izin vermiyor. Bu insanlar ülkelerini silip süpüren İslam dini karşısında kendi inançlarını sürdürebilmeleri ve diğer her şeyi sadık şekilde reddederek tüm olaylara rağmen kendi eski inançlarına sarılmaları açısından ilginç. İran'da ""sessizlik kuleleri"" ve eski alev tapınakları dışında günümüzde dinlerine ait çok az kanıt bulunuyor. Bu tapınaklar genellikle yumuşak kerpiç tuğlalardan inşa edilmiş ve yüzlerce yılın sonunda artık geçmişin şekilsiz hatıraları olmaktan öteye gidemiyor. Tahran'ın birkaç mil güneyindeki ıssız, kimselerin geçmediği bir noktada Mecusilerin ölülerini yok ettikleri ""sessizlik kulesi"" yer alıyor. Kulenin tepesinde zemini demir parmaklık olan bir çeşit balkon var. Ölüler karga ve akbabalar vücudu tamamen yiyene kadar bunun üzerine koyuluyor. Sonra kuru kemikler kuledeki ortak bir kabın içine koyuluyor. İran'daki Mecusi grupları bugünlerde sürekli yanan ateşlerini yakamayacak kadar parasız veya duyarsız. Eski refah günlerde gece gündüz yakılan Zoroaster ateşi tamamen söndürülmüş ve bu eski ibadet şeklinin hayatta kalanları da toplam İran nüfusunun içinde çok küçük bir grubu meydana getiriyor.";35.72186454791816,51.334722855967826;-;;;;;;;;;;;;;;;;
167A169:G169;Dowshan Tappeh;01.10.1885;Bisiklet;"Peşimde olan saray görevlileri bisikletle Tahran'a geldiğim haberini alır almaz şaha ulaştırmış. Gelişimin yedinci gününde saraydan bir görevli şahın adına bana geliyor ve ertesi sabah 8'de beni ""şahların şahı ve kralların kralı” ile görüşeceğim saraya götürmek üzere gönderilecek askerleri takip ederek kendisiyle birlikte Doshan tepedeki yaz sarayına kadar gitmemi rica ediyor. ""Evet, elbette orada olmaktan ve Majestelerine Avrupa'dan gelen en son mucizeyi, muhteşem demir atı tanıtma vazifesini üstlenmekten son derece mutlu olacağım,"" yanıtını veriyorum ve görevli Fransız kibarlığıyla beni selamladıktan sonra ayrılıyor… Şahın gelmesini bekleyeceğimiz Doshan Tepe kapısına doğru ilerliyorum. Doshan Tepeden sonra yaklaşık 4 millik oldukça güzel bir yol kraliyet ailesine ait saraylara ve bahçelere çıkıyor. Majesteleri bu sabah Doshan Tepe'nin ilerisindeki dağlara atış yapmak için gidiyor ve benim de grupla birlikte birkaç mil sürmemi, böylece bisikletle yolculuk yapmanın nasıl bir şey olduğunu görmesi için güzel bir fırsat vermemi istiyor. Yavaş hareket eden şah beni ve büyük bir hizmetli grubunu kapıda tam bir saat bekletiyor. Kalabalığı arasında şahın baş avcısı da bulunuyor. Avcı beni bisiklete binerken görünce dengede durmanın nasıl mümkün olduğunu anlayamadığından, ""ah muhteşem İngiliz,"" diye bağırıyor. Yaşlı avcının şaşkınlık sözlerini duyan herkes gülümsüyor ve şaka yoluyla gelecekte avlanma işini bisiklete binerek yapması gerektiğini tavsiye edip tekrar bisiklete binerek seleden ateş etmenin mümkün olduğunu direksiyonu tutmadan ilerleyerek gösterince atlılardan oluşan sevinçli kalabalık yürekten kahkahalar atıyor ve bazıları da ""bravo, bravo"" diye bağırıyor. Şahın arabası geldiği için herkes attan inip başını yere kadar eğiyor. Araba durup da şah beni ve tercümanı yanına çağırana kadar da öyle kalıyorlar. İki İngiliz arkadaşım bana şahtan ayrıldıktan sonra katılmayı planlayarak geri döndüğü için gruptaki tek Avrupalı benim.";35.69048250046941,51.533853687710454;-;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
